pinid,arrival_time
pin0,27492.9984
pin0,106322.00039999999
pin0,154788.9984
pin0,237138.9984
pin0,281943.0
pin1,31561.999200000002
pin1,99716.0004
pin1,156161.0016
pin1,230340.9996
pin1,315513.0
pin2,57389.0004
pin2,74829.9996
pin2,187706.9988
pin2,204535.0008
pin2,285991.9992
pin3,41735.0016
pin3,86787.0
pin3,168003.0
pin3,231746.00040000002
pin4,51796.0008
pin4,82479.9996
pin5,27351.0
pin5,105690.9996
pin5,153384.0012
pin5,235360.0008
pin6,37338.0012
pin6,95276.0016
pin6,166421.00160000002
pin6,225636.0012
pin6,294797.0016
pin6,356184.0
pin6,409542.0012
pin7,34057.0008
pin7,94507.9992
pin7,164301.0012
pin7,286733.9988
pin7,360712.0008
pin8,54330.0012
pin8,75965.0004
pin8,203730.0012
pin8,203730.0012
pin9,33402.999599999996
pin9,99353.0016
pin9,160184.9988
pin9,230515.99920000002
pin9,271429.9992
pin9,418089.9996
pin10,30843.000000000004
pin10,104438.0016
pin10,158019.9984
pin10,232058.0016
pin10,282938.0004
pin10,359557.9992
pin11,14222.001600000001
pin11,115707.99960000001
pin11,143330.00040000002
pin11,242199.0
pin11,258428.0016
pin11,399129.9984
pin11,399129.9984
pin12,24117.0012
pin12,154247.00040000002
pin12,285045.0012
pin12,366941.9988
pin13,37807.9992
pin13,92842.9992
pin13,162731.0016
pin13,220699.0008
pin14,33336.0
pin14,100563.0012
pin14,159739.9992
pin14,242939.9988
pin14,330986.9988
pin15,127859.00039999999
pin15,127859.00039999999
pin15,258428.0016
pin15,265416.99840000004
pin15,385264.00080000004
pin15,385264.00080000004
pin16,20167.999200000002
pin16,108299.9988
pin16,151364.0016
pin16,248879.0016
pin17,32439.9996
pin17,97593.9984
pin17,158690.00160000002
pin17,227769.0012
pin17,262461.9996
pin17,369387.0
pin18,10875.9996
pin18,121298.00039999999
pin18,141852.99959999998
pin18,265416.99840000004
pin18,305102.0016
pin18,391102.9992
pin18,391102.9992
pin19,88845.9984
pin19,218898.0
pin76,31029.8004
pin76,99798.9984
pin76,156709.0008
pin76,227432.0016
pin76,292392.0
pin77,29928.9996
pin77,101580.0012
pin77,155937.9996
pin77,353769.9984
pin20,27893.4012
pin20,100500.9984
pin20,156459.9996
pin20,229682.9988
pin21,21993.1992
pin21,103737.9996
pin21,149542.9992
pin21,230299.99920000002
pin21,287037.0
pin21,407509.99919999996
pin22,13999.1004
pin22,110423.0016
pin22,141341.0004
pin22,244847.00160000002
pin23,29564.2008
pin23,98156.9988
pin23,157083.0012
pin23,223018.9992
pin23,356610.9996
pin23,413625.99960000004
pin24,18221.799600000002
pin24,110788.9992
pin24,143346.99959999998
pin24,239424.9984
pin24,282994.9992
pin78,42465.898799999995
pin78,88674.0012
pin78,168900.9984
pin78,219992.0004
pin78,340795.0008
pin79,36020.599200000004
pin79,89813.9988
pin79,161696.00160000002
pin79,224484.99839999998
pin79,285197.0004
pin80,54990.298800000004
pin80,75371.9004
pin80,179016.0012
pin80,196761.9996
pin80,318447.0
pin80,334110.9996
pin81,22418.3016
pin81,108174.99960000001
pin81,148727.9988
pin82,57602.7
pin82,71218.6992
pin82,189988.9992
pin82,202885.9992
pin82,328816.0008
pin82,446671.0008
pin25,41565.3984
pin25,89206.9992
pin25,167843.0016
pin25,223913.9988
pin25,295463.9988
pin83,13690.699200000001
pin83,115813.00080000001
pin83,138495.9996
pin83,244136.9988
pin84,6608.1996
pin84,120628.00080000001
pin84,132018.0012
pin84,250094.00160000002
pin84,266595.0012
pin85,42279.1992
pin85,86765.0004
pin85,167267.9988
pin85,212736.9996
pin86,55105.700399999994
pin86,75922.5996
pin86,203295.9996
pin86,316712.0016
pin87,32422.2012
pin87,96518.9988
pin87,158172.99839999998
pin87,226944.0
pin87,297276.9984
pin88,25715.4984
pin88,100706.0004
pin88,153414.0
pin88,278206.9992
pin88,358494.9984
pin89,48686.7996
pin89,82669.8996
pin89,180352.00079999998
pin89,207029.00160000002
pin89,307770.99840000004
pin89,344635.99919999996
pin90,49681.4004
pin90,76302.1008
pin90,179827.9992
pin90,203274.0
pin91,43562.001599999996
pin91,82410.00120000001
pin91,174137.0004
pin91,210881.0016
pin92,36418.2984
pin92,93006.0
pin92,165279.99959999998
pin93,9066.0996
pin93,117471.9996
pin93,138330.0
pin93,249021.0
pin93,268812.0
pin93,372543.0012
pin94,47634.9012
pin94,83148.0012
pin94,179559.0
pin94,215067.99959999998
pin94,338691.99960000004
pin95,20491.300799999997
pin95,107133.9984
pin95,149959.0008
pin95,287672.0004
pin95,365765.0004
pin96,13261.2012
pin96,117063.0
pin96,141411.9996
pin96,246084.99839999998
pin96,271766.9988
pin96,369342.0
pin97,37531.1016
pin97,93795.0012
pin97,163023.0012
pin97,224825.0004
pin98,53538.4008
pin98,74252.7
pin98,172541.0016
pin98,202470.99839999998
pin98,309852.0
pin98,337336.9992
pin99,50664.7008
pin99,79839.2016
pin99,180785.9988
pin99,209336.0004
pin99,315195.0012
pin100,42009.998400000004
pin100,86464.0008
pin100,170858.0016
pin100,350897.0004
pin101,45332.3016
pin101,303782.00039999996
pin102,59834.9988
pin102,68463.39959999999
pin102,188984.0016
pin102,197253.0
pin102,447621.9984
pin26,51467.6016
pin26,78342.3
pin26,188449.99920000002
pin26,308531.0016
pin26,333698.0004
pin26,444102.0012
pin27,41183.4996
pin27,86238.0
pin27,167240.9988
pin27,215845.99920000002
pin27,337269.9996
pin28,37815.8004
pin28,89006.0004
pin28,167361.0012
pin28,215724.9996
pin28,297745.9992
pin29,32278.201200000003
pin29,98619.9984
pin29,158622.0012
pin29,228654.0
pin29,357675.0012
pin30,21485.9016
pin30,108028.0008
pin30,150900.0012
pin30,236849.0004
pin30,280221.0012
pin30,407687.00039999996
pin31,31006.1016
pin31,98773.99919999999
pin31,156729.99959999998
pin31,226226.9988
pin32,28044.2016
pin32,101687.0004
pin32,152039.0016
pin32,232173.00000000003
pin32,284598.0
pin32,405114.9984
pin33,18100.5984
pin33,113913.0
pin33,145950.9984
pin33,277130.0016
pin34,16552.400400000002
pin34,113982.9984
pin34,138749.00040000002
pin34,243846.0
pin35,16186.100400000001
pin35,272566.0008
pin36,30564.0
pin36,98550.0
pin36,160242.9984
pin36,230163.9984
pin36,371882.0016
pin37,15379.9992
pin37,116753.0004
pin37,142643.0016
pin37,262461.9996
pin37,266488.99919999996
pin37,379343.0016
pin37,379343.0016
pin38,30817.0008
pin38,102006.0
pin38,157604.0004
pin39,48368.9988
pin39,85128.99840000001
pin39,178751.0016
pin39,215701.99920000002
pin39,311902.9992
pin39,337862.9988
pin40,54384.998400000004
pin40,77886.0
pin40,185037.0012
pin41,18034.9992
pin41,114913.0008
pin41,145608.0012
pin41,245445.00120000003
pin41,304745.00039999996
pin41,375887.9988
pin41,391902.0012
pin42,51059.0016
pin42,77775.0012
pin42,180777.99959999998
pin42,204905.9988
pin42,277963.99919999996
pin42,332908.9992
pin43,53206.9992
pin43,80854.99919999999
pin43,182397.9996
pin43,347204.9988
pin44,34704.0
pin44,99003.99960000001
pin44,158960.9988
pin44,281412.0
pin45,27686.998799999998
pin45,159554.00160000002
pin46,53571.9996
pin46,75488.0004
pin46,181181.0016
pin46,202605.0012
pin46,279120.9996
pin46,330986.9988
