pinid,latitude,longitude
pin0,51.882301,-176.684204
pin1,34.94591,-106.4572
pin2,39.8681,32.79356
pin3,32.371299,-64.696299
pin4,64.747398,-21.326799
pin5,-66.279198,110.5354
pin6,38.055698,-91.244598
pin7,18.81401,98.94447
pin8,37.763699,-25.5243
pin9,64.873596,-147.861603
pin10,44.585499,-123.304604
pin11,-20.08765,146.24998
pin12,7.0697,125.579102
pin13,28.1103,-81.432701
pin14,-51.675301,-58.063702
pin15,-8.5259,179.196594
pin16,13.5893,144.868393
pin17,29.9618,-95.838402
pin18,-9.4387,159.947495
pin19,42.506401,-71.558296
pin20,-68.583931,78.068504
pin21,-34.59761,116.356689
pin22,-42.490798,147.68063
pin23,-12.14645,96.82032
pin24,-19.934851,134.329544
pin25,77.47602,-69.28449
pin26,-7.936778,-14.375301
pin27,32.35408,-64.6861
pin28,-7.37781,72.484161
pin29,64.875,-147.86114
pin30,-77.718717,167.642967
pin31,48.26408,-117.12567
pin32,33.606458,-116.45503
pin33,28.209718,-177.38143
pin34,19.591532,-155.8936
pin35,19.291779,166.61126
pin36,37.47768,126.62436
pin37,16.732901,-169.529205
pin38,57.782799,-152.583496
pin39,69.7565,27.0035
pin40,50.701199,29.224199
pin41,21.42,-158.0112
pin42,-1.1271,37.252499
pin43,59.6491,9.5982
pin44,-29.011,-70.700401
pin45,36.54567,138.204056
pin46,-0.6019,30.738199
pin47,28.215599,-177.369797
pin48,-32.9277,117.238998
pin49,0.2376,-78.450798
pin50,39.544601,-4.3499
pin51,-0.6742,-90.286102
pin52,-64.774399,-64.048897
pin53,19.757299,-155.532593
pin54,-25.071301,-130.095306
pin55,-89.928902,144.438202
pin56,-21.2125,-159.7733
pin57,-5.8274,-35.901402
pin58,44.121201,-104.035896
pin59,14.9702,-23.6085
pin60,-77.849197,166.757202
pin61,66.996101,-50.620762
pin62,18.1091,-66.150002
pin63,-41.308701,174.7043
pin64,40.635799,-77.887604
pin65,1.3549,172.922897
pin66,24.975401,121.488098
pin67,20.22624,-88.27633
pin68,-38.056801,-61.978699
pin69,-19.20227,17.58376
pin70,32.309799,-110.784698
pin71,47.865101,107.0532
pin72,19.2834,166.651993
pin73,36.1297,-87.830002
pin74,2.0448,-157.445694
pin75,33.610699,-116.455498
pin76,-41.1,-70.7
pin77,-54.6,-67.3
pin78,-15.6,-48.0
pin79,50.2,-96.0
pin80,15.2,-23.2
pin81,-27.1,-109.4
pin82,6.7,-4.9
pin83,-8.9,-140.2
pin84,-22.2,166.8
pin85,16.1,-61.6
pin86,48.9,13.7
pin87,-70.7,-8.3
pin88,35.3,140.3
pin89,50.4,58.0
pin90,-1.3,36.8
pin91,-18.8,48.1
pin92,47.8,106.4
pin93,-43.9,-176.5
pin94,69.1,18.6
pin95,7.5,134.5
pin96,-4.3,152.0
pin97,-26.3,-57.3
pin98,39.0,-28.0
pin99,56.7,37.3
pin100,53.9,84.8
pin101,-28.6,25.3
pin102,35.8,9.3
