pinid,arrival_time
pin0,1058.32
pin1,1079.97
pin2,1081.9
pin3,1088.39
pin4,1089.62
pin5,1115.68
pin6,1116.99
pin7,1117.03
pin8,1117.68
pin9,1118.08
pin10,1118.27
pin11,1118.81
pin12,1118.9
pin13,1119.11
pin14,1119.45
pin15,1119.49
pin16,1119.5
pin17,1120.34
pin18,1120.36
pin19,1120.42
pin20,1120.46
pin21,1120.85
pin22,1121.17
pin23,1121.47
pin24,1121.75
pin25,1122.06
pin26,1122.17
pin27,1122.36
pin28,1122.62
pin29,1123.15
pin30,1123.41
pin31,1123.42
pin32,1123.87
pin33,1123.88
pin34,1123.98
pin35,1123.99
pin36,1124.24
pin37,1124.57
pin38,1124.97
pin39,1125.3
pin40,1125.4
pin41,1125.9
pin42,1126.09
pin43,1126.39
pin44,1126.4
pin45,1126.58
pin46,1126.8
pin47,1126.82
pin48,1126.82
pin49,1126.86
pin50,1127.17
pin51,1127.3
pin52,1127.43
pin53,1127.78
pin54,1127.8
pin55,1128.04
pin56,1128.15
pin57,1128.2
pin58,1128.25
pin59,1128.57
pin60,1128.7
pin61,1128.76
pin62,1128.8
pin63,1128.83
pin64,1128.84
pin65,1128.95
pin66,1129.05
pin67,1129.1
pin68,1129.1
pin69,1129.21
pin70,1129.35
pin71,1129.4
pin72,1129.42
pin73,1129.42
pin74,1129.53
pin75,1129.55
pin76,1129.69
pin77,1129.86
pin78,1129.9
pin79,1129.91
pin80,1130.02
pin81,1130.02
pin82,1130.03
pin83,1130.04
pin84,1130.28
pin85,1130.35
pin86,1130.73
pin87,1130.9
pin88,1130.91
pin89,1130.95
pin90,1130.96
pin91,1131.09
pin92,1131.2
pin93,1131.22
pin94,1131.31
pin95,1131.5
pin96,1131.68
pin97,1131.8
pin98,1131.87
pin99,1131.9
pin100,1131.94
pin101,1132.06
pin102,1132.39
pin103,1132.48
pin104,1132.5
pin105,1132.6
pin106,1132.82
pin107,1132.88
pin108,1132.9
pin109,1132.91
pin110,1132.94
pin111,1133.45
pin112,1133.5
pin113,1133.66
pin114,1133.7
pin115,1133.83
pin116,1134.37
pin117,1134.45
pin118,1134.56
pin119,1134.96
pin120,1134.98
pin121,1135.68
pin122,1136.13
pin123,1136.19
pin124,1137.5
pin125,1137.77
pin126,1138.24
pin127,1138.35
pin128,1138.37
pin129,1138.5
pin130,1138.76
pin131,1139.72
pin132,1139.77
pin133,1140.9
pin134,1140.99
pin135,1141.4
pin136,1141.48
pin137,1141.78
pin138,1142.01
pin139,1142.11
pin140,1142.5
pin141,1143.5
pin142,1143.57
pin143,1144.52
pin144,1144.66
pin145,1144.9
pin146,1145.85
pin147,1145.89
pin148,1145.91
pin149,1146.0
pin150,1146.31
pin151,1146.69
pin152,1146.81
pin153,1147.44
pin154,1148.1
pin155,1148.18
pin156,1148.58
pin157,1148.68
pin158,1148.85
pin159,1149.38
pin160,1150.29
pin161,1150.93
pin162,1153.04
pin163,1153.11
pin164,1153.2
pin165,1153.38
pin166,1153.62
pin167,1154.98
pin168,1155.07
pin169,1156.04
pin170,1156.33
pin171,1156.87
pin172,1156.97
pin173,1157.37
pin174,1157.46
pin175,1157.47
pin176,1157.67
pin177,1157.8
pin178,1157.81
pin179,1157.97
pin180,1158.1
pin181,1158.6
pin182,1158.8
pin183,1158.8
pin184,1159.6
pin185,1159.9
pin186,1160.0
pin187,1160.38
pin188,1160.58
pin189,1160.84
pin190,1160.9
pin191,1161.0
pin192,1161.4
pin193,1161.52
pin194,1161.7
pin195,1161.7
pin196,1161.7
pin197,1161.71
pin198,1161.8
pin199,1161.86
pin200,1162.74
pin201,1162.9
pin202,1163.17
pin203,1163.57
pin204,1163.64
pin205,1163.8
pin206,1163.9
pin207,1164.01
pin208,1164.14
pin209,1164.39
pin210,1164.54
pin211,1164.57
pin212,1165.02
pin213,1165.3
pin214,1165.3
pin215,1165.6
pin216,1165.68
pin217,1166.24
pin218,1166.4
pin219,1166.7
pin220,1166.8
pin221,1167.0
pin222,1167.18
pin223,1167.37
pin224,1167.42
pin225,1167.54
pin226,1167.79
pin227,1168.14
pin228,1168.38
pin229,1168.52
pin230,1168.61
pin231,1169.01
pin232,1169.1
pin233,1169.29
pin234,1169.6
pin235,1169.83
pin236,1169.98
pin237,1170.04
pin238,1170.1
pin239,1170.19
pin240,1170.23
pin241,1170.25
pin242,1170.5
pin243,1170.54
pin244,1170.6
pin245,1170.9
pin246,1170.94
pin247,1171.19
pin248,1171.26
pin249,1171.29
pin250,1171.49
pin251,1171.6
pin252,1171.72
pin253,1171.78
pin254,1171.83
pin255,1171.9
pin256,1171.91
pin257,1172.04
pin258,1172.08
pin259,1172.1
pin260,1172.11
pin261,1172.14
pin262,1172.46
pin263,1172.49
pin264,1172.57
pin265,1172.69
pin266,1172.71
pin267,1172.8
pin268,1173.06
pin269,1173.12
pin270,1173.2
pin271,1173.2
pin272,1173.29
pin273,1173.32
pin274,1173.72
pin275,1173.83
pin276,1173.86
pin277,1174.02
pin278,1174.25
pin279,1174.4
pin280,1174.4
pin281,1174.5
pin282,1174.53
pin283,1174.66
pin284,1174.73
pin285,1174.78
pin286,1174.9
pin287,1174.9
pin288,1175.17
pin289,1175.22
pin290,1175.29
pin291,1175.67
pin292,1175.73
pin293,1175.82
pin294,1175.92
pin295,1175.96
pin296,1175.97
pin297,1176.2
pin298,1176.5
pin299,1176.7
pin300,1176.72
pin301,1176.87
pin302,1176.9
pin303,1177.0
pin304,1177.4
pin305,1177.4
pin306,1177.44
pin307,1177.5
pin308,1178.27
pin309,1178.3
pin310,1178.9
pin311,1179.45
pin312,1179.73
pin313,1179.84
pin314,1180.32
pin315,1180.51
pin316,1180.66
pin317,1180.95
pin318,1181.05
pin319,1181.24
pin320,1181.24
pin321,1181.29
pin322,1181.86
pin323,1182.51
pin324,1182.9
pin325,1182.9
pin326,1182.9
pin327,1183.0
pin328,1183.04
pin329,1183.07
pin330,1183.1
pin331,1183.4
pin332,1183.47
pin333,1183.6
pin334,1183.9
pin335,1184.3
pin336,1184.4
pin337,1184.5
pin338,1184.8
pin339,1184.82
pin340,1184.87
pin341,1184.9
pin342,1184.9
pin343,1184.92
pin344,1185.51
pin345,1185.9
pin346,1185.9
pin347,1186.0
pin348,1186.19
pin349,1186.5
pin350,1186.6
pin351,1186.7
pin352,1186.74
pin353,1186.87
pin354,1186.89
pin355,1186.9
pin356,1186.9
pin357,1186.92
pin358,1187.1
pin359,1187.17
pin360,1187.2
pin361,1187.2
pin362,1187.48
pin363,1187.51
pin364,1187.6
pin365,1187.8
pin366,1187.86
pin367,1187.9
pin368,1187.9
pin369,1187.9
pin370,1187.9
pin371,1187.9
pin372,1187.99
pin373,1188.09
pin374,1188.2
pin375,1188.3
pin376,1188.31
pin377,1188.34
pin378,1188.35
pin379,1188.7
pin380,1188.79
pin381,1188.8
pin382,1188.9
pin383,1188.9
pin384,1188.94
pin385,1189.0
pin386,1189.2
pin387,1189.2
pin388,1189.24
pin389,1189.49
pin390,1189.72
pin391,1189.81
pin392,1189.9
pin393,1189.9
pin394,1189.93
pin395,1189.97
pin396,1190.0
pin397,1190.0
pin398,1190.27
pin399,1190.4
pin400,1190.41
pin401,1190.7
pin402,1190.73
pin403,1190.87
pin404,1190.9
pin405,1191.19
pin406,1191.2
pin407,1191.2
pin408,1191.27
pin409,1191.4
pin410,1191.44
pin411,1191.7
pin412,1191.7
pin413,1192.06
pin414,1192.07
pin415,1192.2
pin416,1192.39
pin417,1192.42
pin418,1192.45
pin419,1192.55
pin420,1192.8
pin421,1192.9
pin422,1192.9
pin423,1192.92
pin424,1193.11
pin425,1193.15
pin426,1193.16
pin427,1193.21
pin428,1193.46
pin429,1193.53
pin430,1193.55
pin431,1193.56
pin432,1193.7
pin433,1193.79
pin434,1193.9
pin435,1193.92
pin436,1194.1
pin437,1194.27
pin438,1194.28
pin439,1194.4
pin440,1194.5
pin441,1194.7
pin442,1194.7
pin443,1194.8
pin444,1194.8
pin445,1194.9
pin446,1194.94
pin447,1194.97
pin448,1195.19
pin449,1195.2
pin450,1195.3
pin451,1195.3
pin452,1195.4
pin453,1195.59
pin454,1195.7
pin455,1195.75
pin456,1195.84
pin457,1195.95
pin458,1195.99
pin459,1196.0
pin460,1196.0
pin461,1196.1
pin462,1196.28
pin463,1196.28
pin464,1196.5
pin465,1196.7
pin466,1196.7
pin467,1196.78
pin468,1196.8
pin469,1196.9
pin470,1197.0
pin471,1197.1
pin472,1197.21
pin473,1197.29
pin474,1197.3
pin475,1197.35
pin476,1197.4
pin477,1197.4
pin478,1197.6
pin479,1197.6
pin480,1197.7
pin481,1197.75
pin482,1197.8
pin483,1197.9
pin484,1197.93
pin485,1198.0
pin486,1198.0
pin487,1198.07
pin488,1198.1
pin489,1198.14
pin490,1198.37
pin491,1198.38
pin492,1198.4
pin493,1198.4
pin494,1198.4
pin495,1198.43
pin496,1198.47
pin497,1198.5
pin498,1198.57
pin499,1198.6
pin500,1198.6
pin501,1198.6
pin502,1198.76
pin503,1198.8
pin504,1198.8
pin505,1198.8
pin506,1198.8
pin507,1198.88
pin508,1199.1
pin509,1199.1
pin510,1199.11
pin511,1199.15
pin512,1199.2
pin513,1199.2
pin514,1199.3
pin515,1199.34
pin516,1199.4
pin517,1199.4
pin518,1199.4
pin519,1199.4
pin520,1199.5
pin521,1199.5
pin522,1199.5
pin523,1199.5
pin524,1199.6
pin525,1199.6
pin526,1199.6
pin527,1199.7
pin528,1199.7
pin529,1199.7
pin530,1199.8
pin531,1199.84
pin532,1199.86
pin533,1199.89
pin534,1199.9
pin535,1199.9
pin536,1199.9
pin537,1199.96
pin538,1200.0
pin539,1200.0
pin540,1200.08
pin541,1200.1
pin542,1200.1
pin543,1200.23
pin544,1200.3
