pinid,latitude,longitude
pin0,47.8347,106.395
pin1,-1.1268,37.2523
pin2,36.0867,103.844
pin3,-15.6412,-48.0141
pin4,29.7,91.15
pin5,38.52,-122.607
pin6,37.3533,-118.564
pin7,36.9488,-116.2495
pin8,17.091,-94.884
pin9,61.1817,-152.054
pin10,40.5799,-122.5411
pin11,34.2238,-118.058
pin12,-0.6019,30.7382
pin13,38.3763,-109.039
pin14,10.2908,-84.9525
pin15,39.3104,-119.759
pin16,62.0311,129.6811
pin17,57.7828,-152.5835
pin18,31.6985,-105.3821
pin19,41.732,-122.7104
pin20,38.4322,-118.154
pin21,38.4296,-118.3036
pin22,38.075,-117.2225
pin23,4.5853,-75.3203
pin24,39.3357,-121.484
pin25,38.5037,-112.2123
pin26,38.3497,-115.5852
pin27,41.9025,-120.3029
pin28,34.1655,-106.974
pin29,47.7489,-124.1781
pin30,4.84,-74.32
pin31,48.65,-123.451
pin32,29.3338,-103.667
pin33,35.6495,-114.8433
pin34,13.871,45.249
pin35,29.3339,-103.667
pin36,44.8525,-117.306
pin37,39.9548,-112.075
pin38,60.4622,-152.754
pin39,34.9459,-106.4572
pin40,39.5167,75.9731
pin41,42.8333,74.6167
pin42,40.7448,-115.239
pin43,34.3117,-106.632
pin44,41.6069,-111.5652
pin45,60.5078,-150.221
pin46,68.0389,166.2711
pin47,40.4315,-117.2218
pin48,32.2003,-104.364
pin49,40.9254,-113.0299
pin50,32.2642,-103.879
pin51,64.5646,-165.3732
pin52,34.402,-107.139
pin53,34.1502,-106.628
pin54,63.7323,-148.9349
pin55,6.5923,-73.1823
pin56,42.1311,73.6941
pin57,46.7937,82.2904
pin58,33.0308,-103.867
pin59,5.8925,-73.0832
pin60,42.6375,74.4942
pin61,39.1108,-110.5238
pin62,61.5922,-149.1308
pin63,63.4167,-145.752
pin64,44.5857,-123.303
pin65,57.0569,-135.3244
pin66,45.3181,-121.465
pin67,64.7714,-146.8866
pin68,30.4794,-99.8022
pin69,40.4125,-111.256
pin70,61.807,-148.3318
pin71,66.0685,-153.679
pin72,48.2642,-117.1227
pin73,20.2263,-88.2764
pin74,61.1295,-145.7717
pin75,46.9097,-120.568
pin76,42.6375,74.4942
pin77,48.4483,-121.514
pin78,46.8292,-113.9406
pin79,41.7797,-112.775
pin80,43.5625,-114.4138
pin81,40.6525,-112.12
pin82,44.4513,-110.8358
pin83,42.7654,-111.1004
pin84,43.4901,-110.951
pin85,38.1344,-108.57
pin86,39.2965,-111.2082
pin87,48.0783,-120.338
pin88,47.3536,-119.596
pin89,43.7486,-110.745
pin90,58.4372,-130.027
pin91,43.6124,-110.604
pin92,34.7379,-98.781
pin93,46.8033,-119.1448
pin94,45.597,-111.6297
pin95,42.7667,-109.5579
pin96,43.897,-110.939
pin97,53.9367,84.7981
pin98,42.6615,73.7772
pin99,42.9986,74.7513
pin100,63.7323,-148.9349
pin101,41.6889,-107.2102
pin102,42.6564,74.9478
pin103,42.2275,74.5134
pin104,43.4625,-110.755
pin105,46.7113,-111.831
pin106,44.6687,-110.965
pin107,49.0586,-113.912
pin108,64.8738,-147.8511
pin109,44.7155,-110.6792
pin110,64.0655,-139.391
pin111,34.8837,-101.6808
pin112,42.0778,75.2496
pin113,43.3624,-110.852
pin114,37.7456,-105.5012
pin115,42.7667,-109.5583
pin116,29.95,-95.8333
pin117,38.2502,-107.687
pin118,8.8861,-70.6333
pin119,43.5394,-110.7429
pin120,43.2669,74.4997
pin121,14.571,44.39
pin122,39.7997,-105.6134
pin123,41.3016,-105.4578
pin124,45.8377,-111.878
pin125,53.2217,-113.35
pin126,44.5652,-110.4
pin127,31.7598,-94.661
pin128,46.6885,-106.2231
pin129,68.3065,-133.5254
pin130,-5.8275,-35.9014
pin131,16.7383,42.1152
pin132,39.1009,-96.6094
pin133,38.814,-99.7374
pin134,20.3088,44.5811
pin135,19.1702,42.2021
pin136,53.6761,70.6153
pin137,34.5454,-93.5765
pin138,48.4702,-104.1959
pin139,19.5416,43.4773
pin140,44.1212,-104.0359
pin141,53.0581,70.2828
pin142,34.7751,-92.3429
pin143,24.19,46.64
pin144,37.984,-90.426
pin145,36.1297,-87.83
pin146,62.4932,-114.6053
pin147,62.5608,-114.616
pin148,33.0348,-86.9978
pin149,53.0581,70.2828
pin150,35.2163,-85.932
pin151,34.5118,-89.4092
pin152,28.7444,47.9177
pin153,28.9259,47.5497
pin154,23.9267,43.0005
pin155,29.5519,47.7158
pin156,29.5003,46.9972
pin157,37.9651,-87.666
pin158,38.0557,-91.2446
pin159,35.122,-89.934
pin160,36.3423,-88.8642
pin161,38.6361,-90.2361
pin162,33.4112,-83.4666
pin163,14.425,-60.8367
pin164,34.2817,-81.2603
pin165,18.1117,-66.15
pin166,50.2497,-95.875
pin167,16.3164,-61.0567
pin168,42.9143,-90.2481
pin169,25.2323,37.3109
pin170,39.1719,-86.5222
pin171,17.046,-61.857
pin172,33.3817,-80.6993
pin173,29.6699,34.9512
pin174,32.173,36.8473
pin175,17.3333,-62.739
pin176,40.1495,44.7414
pin177,29.728,35.05
pin178,33.1067,-80.1778
pin179,17.1835,-62.6001
pin180,29.7925,34.9153
pin181,30.1044,34.7251
pin182,30.3519,35.0046
pin183,30.554,35.178
pin184,31.3096,35.3628
pin185,31.593,35.392
pin186,31.5522,35.6408
pin187,38.595,43.389
pin188,28.22,36.54
pin189,42.3012,-83.6567
pin190,32.9331,-80.3777
pin191,32.253,35.526
pin192,37.2113,-80.4205
pin193,28.1889,35.2689
pin194,32.4379,35.4216
pin195,32.621,34.985
pin196,32.2405,35.0403
pin197,37.2283,-80.7517
pin198,32.982,35.811
pin199,38.4978,38.9844
pin200,38.892,39.392
pin201,40.1495,44.7414
pin202,39.9053,41.3623
pin203,37.8911,41.27
pin204,39.6581,-79.8456
pin205,56.4293,58.5615
pin206,56.827,60.637
pin207,37.441,38.8213
pin208,29.05,34.92
pin209,41.6492,-80.1448
pin210,18.0428,-63.1089
pin211,36.964,32.486
pin212,29.3103,35.065
pin213,33.083,35.174
pin214,41.7333,44.75
pin215,38.5286,43.4061
pin216,39.131,41.529
pin217,38.2046,-77.3732
pin218,43.9553,42.6863
