ideal_time,surface_distance
1058.0,11067.0
1119.57,12662.6
1120.05,12690.4
1120.53,12718.3
1121.01,12746.1
1121.49,12773.9
1121.97,12801.7
1122.44,12829.6
1122.92,12857.4
1123.4,12885.2
1123.88,12913.1
1124.36,12940.9
1124.84,12968.7
1125.32,12996.6
1125.79,13024.4
1126.27,13052.2
1126.75,13080.0
1127.23,13107.9
1127.71,13135.7
1128.19,13163.5
1128.67,13191.4
1129.14,13219.2
1129.62,13247.0
1130.1,13274.8
1130.58,13302.7
1131.06,13330.5
1131.53,13358.3
1132.01,13386.2
1132.49,13414.0
1132.97,13441.8
1133.45,13469.7
1133.92,13497.5
1134.4,13525.3
1134.88,13553.1
1135.36,13581.0
1135.83,13608.8
1136.31,13636.6
1136.79,13664.5
1137.26,13692.3
1137.74,13720.1
1138.22,13748.0
1138.69,13775.8
1139.17,13803.6
1139.64,13831.4
1140.12,13859.3
1140.6,13887.1
1141.07,13914.9
1141.55,13942.8
1142.02,13970.6
1142.5,13998.4
1142.97,14026.3
1143.45,14054.1
1143.92,14081.9
1144.4,14109.7
1144.87,14137.6
1145.35,14165.4
1145.82,14193.2
1146.29,14221.1
1146.77,14248.9
1147.24,14276.7
1147.71,14304.6
1148.18,14332.4
1148.66,14360.2
1149.13,14388.0
1149.6,14415.9
1150.07,14443.7
1150.54,14471.5
1151.01,14499.4
1151.48,14527.2
1151.95,14555.0
1152.42,14582.9
1152.89,14610.7
1153.36,14638.5
1153.83,14666.3
1154.3,14694.2
1154.77,14722.0
1155.24,14749.8
1155.7,14777.7
1156.17,14805.5
1156.64,14833.3
1157.1,14861.2
1157.57,14889.0
1158.03,14916.8
1158.5,14944.6
1158.96,14972.5
1159.42,15000.3
1159.89,15028.1
1160.35,15056.0
1160.81,15083.8
1161.27,15111.6
1161.73,15139.5
1162.19,15167.3
1162.65,15195.1
1163.11,15222.9
1163.57,15250.8
1164.03,15278.6
1164.49,15306.4
1164.94,15334.3
1165.4,15362.1
1165.85,15389.9
1166.31,15417.7
1166.76,15445.6
1167.21,15473.4
1167.67,15501.2
1168.12,15529.1
1168.57,15556.9
1169.02,15584.7
1169.46,15612.6
1169.91,15640.4
1170.36,15668.2
1170.8,15696.0
1171.25,15723.9
1171.69,15751.7
1172.13,15779.5
1172.58,15807.4
1173.02,15835.2
1173.46,15863.0
1173.89,15890.9
1174.33,15918.7
1174.77,15946.5
1175.2,15974.3
1175.63,16002.2
1176.07,16030.0
1176.5,16057.8
1176.93,16085.7
1177.36,16113.5
1177.78,16141.3
1178.21,16169.2
1178.63,16197.0
1179.05,16224.8
1179.47,16252.6
1179.89,16280.5
1180.31,16308.3
1180.73,16336.1
1181.14,16364.0
1181.56,16391.8
1181.97,16419.6
1182.38,16447.5
1182.78,16475.3
1183.19,16503.1
1183.59,16530.9
1184.0,16558.8
1184.4,16586.6
1184.79,16614.4
1185.19,16642.3
1185.59,16670.1
1185.98,16697.9
1186.37,16725.8
1186.76,16753.6
1187.14,16781.4
1187.53,16809.2
1187.91,16837.1
1188.29,16864.9
1188.66,16892.7
1189.04,16920.6
1189.41,16948.4
1189.78,16976.2
1190.15,17004.1
1190.51,17031.9
1190.88,17059.7
1191.24,17087.5
1191.6,17115.4
1191.95,17143.2
1192.3,17171.0
1192.65,17198.9
1193.0,17226.7
1193.35,17254.5
1193.69,17282.4
1194.03,17310.2
1194.36,17338.0
1194.7,17365.8
1195.03,17393.7
1195.36,17421.5
1195.68,17449.3
1196.01,17477.2
1196.33,17505.0
1196.64,17532.8
1196.96,17560.6
1197.27,17588.5
1197.58,17616.3
1197.88,17644.1
1198.18,17672.0
1198.48,17699.8
1198.78,17727.6
1199.07,17755.5
1199.36,17783.3
1199.65,17811.1
1199.93,17838.9
1200.21,17866.8
1200.49,17894.6
1200.76,17922.4
1201.03,17950.3
1201.3,17978.1
1201.56,18005.9
1201.82,18033.8
1202.08,18061.6
1202.33,18089.4
1202.58,18117.2
1202.83,18145.1
1203.08,18172.9
1203.32,18200.7
1203.55,18228.6
1203.79,18256.4
1204.02,18284.2
1204.25,18312.1
1204.47,18339.9
1204.69,18367.7
1204.91,18395.5
1205.12,18423.4
1205.33,18451.2
1205.54,18479.0
1205.74,18506.9
1205.94,18534.7
1206.13,18562.5
1206.33,18590.4
1206.52,18618.2
1206.7,18646.0
1206.88,18673.8
1207.06,18701.7
1207.24,18729.5
1207.41,18757.3
1207.57,18785.2
1207.74,18813.0
1207.9,18840.8
1208.05,18868.7
1208.21,18896.5
1208.36,18924.3
1208.5,18952.1
1208.65,18980.0
1208.78,19007.8
1208.92,19035.6
1209.05,19063.5
1209.18,19091.3
1209.3,19119.1
1209.42,19147.0
1209.54,19174.8
1209.65,19202.6
1209.76,19230.4
1209.87,19258.3
1209.97,19286.1
1210.07,19313.9
1210.16,19341.8
1210.25,19369.6
1210.34,19397.4
1210.43,19425.3
1210.51,19453.1
1210.58,19480.9
1210.65,19508.7
1210.72,19536.6
1210.79,19564.4
1210.85,19592.2
1210.91,19620.1
1210.96,19647.9
1211.01,19675.7
1211.06,19703.6
1211.1,19731.4
1211.14,19759.2
1211.18,19787.0
1211.21,19814.9
1211.24,19842.7
1211.26,19870.5
1211.28,19898.4
1211.3,19926.2
1211.31,19954.0
1211.32,19981.8
1211.32,20009.7
1211.33,20037.5
